PID,query,topic,Specificity Level,Reason,topic_familiarity_x,topic_interest_x,topic_difficulty_x,info_revelance_x,info_difficulty_x,task_order,Receive,Submit,Unnamed: 0_x,topic_familiarity_y,topic_interest_y,topic_difficulty_y,info_revelance_y,info_difficulty_y,order_x,Input_x,Output_x,Unnamed: 0_y,topic_familiarity,topic_interest,topic_difficulty,info_revelance,info_difficulty,order_y,Input_y,Output_y
PA12,What is the price of the stone,708,1,The query is vague and lacks detail. It does not specify which type of stone is being referred to (e.g.,3.0,1.0,1.0,3.0,2.0,9.0,READ,SPEAK,263.0,3.0,1.0,1.0,3.0,2.0,9.0,READ,TYPE,263.0,3.0,1.0,1.0,3.0,2.0,9.0,READ,TYPE
PA13,Where is the main source of the slate stones?,708,2,The query is moderately specific as it asks about the main source of slate stones,1.0,3.0,4.0,5.0,1.0,12.0,READ,SPEAK,264.0,1.0,3.0,4.0,5.0,1.0,12.0,READ,TYPE,264.0,1.0,3.0,4.0,5.0,1.0,12.0,READ,TYPE
PA14,what are the benefits of using slate flooring?,708,2,The query is moderately specific as it focuses on a particular type of flooring (slate) and seeks information about its benefits. However,2.0,4.0,2.0,4.0,2.0,7.0,READ,SPEAK,265.0,2.0,4.0,2.0,4.0,2.0,7.0,READ,TYPE,265.0,2.0,4.0,2.0,4.0,2.0,7.0,READ,TYPE
PA19,from where we can get slate stones? what are the possible uses of this?,708,1,The query is not specific because it is vague and general. It asks for information on where to obtain slate stones without indicating a particular location or context,3.0,3.0,3.0,4.0,2.0,8.0,READ,SPEAK,270.0,3.0,3.0,3.0,4.0,2.0,8.0,READ,TYPE,270.0,3.0,3.0,3.0,4.0,2.0,8.0,READ,TYPE
PA20,what is decorative use of slate stone?,708,2,The query asks about the decorative use of slate stone,2.0,3.0,3.0,4.0,2.0,2.0,LISTEN,SPEAK,271.0,2.0,3.0,3.0,4.0,2.0,2.0,LISTEN,TYPE,271.0,2.0,3.0,3.0,4.0,2.0,2.0,LISTEN,TYPE
PA22,I slate stone more expensive than marble?,708,2,The query is moderately specific as it compares the cost of slate stone to that of marble,1.0,3.0,3.0,3.0,1.0,8.0,READ,SPEAK,273.0,1.0,3.0,3.0,3.0,1.0,8.0,READ,TYPE,273.0,1.0,3.0,3.0,3.0,1.0,8.0,READ,TYPE
PA26,slate stone for decoration,708,2,This query is moderately specific because it indicates a particular type of material (slate stone) used for a specific purpose (decoration). However,,,,,,,,,277.0,1.0,1.0,5.0,2.0,5.0,6.0,READ,TYPE,277.0,1.0,1.0,5.0,2.0,5.0,6.0,READ,TYPE
PA27,Decorative slate stone for a new house,708,2,"The query ""Decorative slate stone for a new house"" is moderately specific. It references a specific type of material (decorative slate stone) and its intended use (for a new house)",4.0,3.0,2.0,1.0,4.0,1.0,READ,SPEAK,278.0,4.0,3.0,2.0,1.0,4.0,1.0,READ,TYPE,278.0,4.0,3.0,2.0,1.0,4.0,1.0,READ,TYPE
PA33,Is slate stone good for interior decorating?,708,2,The query is moderately specific as it inquires about the suitability of slate stone for a particular purpose (interior decorating). However,1.0,2.0,3.0,4.0,1.0,1.0,LISTEN,SPEAK,284.0,1.0,2.0,3.0,4.0,1.0,1.0,LISTEN,TYPE,284.0,1.0,2.0,3.0,4.0,1.0,1.0,LISTEN,TYPE
PA1,train station + security,711,2,"The query ""train station + security"" indicates a focus on a particular location (train station) and a specific aspect (security)",,,,,,,,,,,,,,,,,,,,,,,,,,
PA2,The security measures for train station,711,2,The query is moderately specific as it refers to a particular context (train stations) and a specific topic (security measures) but does not provide details about the types of security measures,,,,,,,,,285.0,2.0,4.0,2.0,4.0,2.0,4.0,LISTEN,SPEAK,285.0,2.0,4.0,2.0,4.0,2.0,4.0,LISTEN,SPEAK
PA3,What are the major security factors that could be considered at a train station?,711,2,"The query asks about ""major security factors"" at a ""train station",,,,,,,,,286.0,5.0,4.0,1.0,2.0,1.0,10.0,READ,SPEAK,286.0,5.0,4.0,1.0,2.0,1.0,10.0,READ,SPEAK
PA4,security measures in train stations,711,2,"The query ""security measures in train stations"" is moderately specific as it indicates a focus on a particular subject (security measures) within a defined context (train stations). However",,,,,,,,,287.0,2.0,3.0,3.0,5.0,2.0,5.0,READ,TYPE,287.0,2.0,3.0,3.0,5.0,2.0,5.0,READ,TYPE
PA6,Train station security procedures,711,2,"The query ""Train station security procedures"" is moderately specific as it indicates a particular context (train stations) and a focus on security procedures. However",2.0,4.0,1.0,5.0,2.0,2.0,READ,SPEAK,288.0,2.0,4.0,1.0,5.0,2.0,2.0,READ,TYPE,288.0,2.0,4.0,1.0,5.0,2.0,2.0,READ,TYPE
PA9,What are the safety measures taken at train stations,711,2,The query is moderately specific as it focuses on safety measures at a particular location (train stations),4.0,4.0,2.0,5.0,1.0,3.0,LISTEN,SPEAK,291.0,4.0,4.0,2.0,5.0,1.0,3.0,LISTEN,TYPE,291.0,4.0,4.0,2.0,5.0,1.0,3.0,LISTEN,TYPE
PA10,Safety at train stations,711,1,"The query ""Safety at train stations"" is vague and general as it does not specify a particular aspect of safety",2.0,5.0,2.0,5.0,1.0,4.0,LISTEN,SPEAK,292.0,2.0,5.0,2.0,5.0,1.0,4.0,LISTEN,TYPE,292.0,2.0,5.0,2.0,5.0,1.0,4.0,LISTEN,TYPE
PA14,what are the measures take when a robbery in a train station takes places? ,711,2,The query is moderately specific as it references a particular scenario (a robbery in a train station) and seeks information about the measures taken in response to that event. However,5.0,5.0,2.0,5.0,2.0,3.0,READ,SPEAK,297.0,5.0,5.0,2.0,5.0,2.0,3.0,READ,TYPE,297.0,5.0,5.0,2.0,5.0,2.0,3.0,READ,TYPE
PA15,what are security measures taken at train stations,711,2,The query is moderately specific as it asks about security measures at train stations,5.0,4.0,1.0,5.0,1.0,9.0,READ,SPEAK,298.0,5.0,4.0,1.0,5.0,1.0,9.0,READ,TYPE,298.0,5.0,4.0,1.0,5.0,1.0,9.0,READ,TYPE
PA16,Security concerns at the train stations,711,2,"The query mentions ""security concerns"" which indicates a focus on a specific issue (safety at train stations)",2.0,3.0,2.0,3.0,2.0,12.0,LISTEN,SPEAK,299.0,2.0,3.0,2.0,3.0,2.0,12.0,LISTEN,TYPE,299.0,2.0,3.0,2.0,3.0,2.0,12.0,LISTEN,TYPE
PA20,what security measures are employed in the train station?,711,2,The query is moderately specific as it asks about security measures specific to train stations. However,3.0,4.0,2.0,4.0,1.0,6.0,READ,SPEAK,303.0,3.0,4.0,2.0,4.0,1.0,6.0,READ,TYPE,303.0,3.0,4.0,2.0,4.0,1.0,6.0,READ,TYPE
PA21,What does the secruity measures include?,711,1,The query is vague because it does not specify which context or type of security measures is being referred to,1.0,1.0,4.0,4.0,1.0,1.0,READ,SPEAK,304.0,1.0,1.0,4.0,4.0,1.0,1.0,READ,TYPE,304.0,1.0,1.0,4.0,4.0,1.0,1.0,READ,TYPE
PA22,What are some common security features in train stations?,711,2,The query is moderately specific as it asks for common security features,3.0,4.0,3.0,5.0,1.0,11.0,READ,SPEAK,305.0,3.0,4.0,3.0,5.0,1.0,11.0,READ,TYPE,305.0,3.0,4.0,3.0,5.0,1.0,11.0,READ,TYPE
PA23,What are the security measures taken to protect public at train station?,711,2,The query is moderately specific as it asks about security measures in a particular context (train stations),,,,,,,,,306.0,4.0,3.0,1.0,5.0,1.0,10.0,READ,TYPE,306.0,4.0,3.0,1.0,5.0,1.0,10.0,READ,TYPE
PA25,what are the possible security measure that have been taken for train station security,711,2,The query is moderately specific as it asks about security measures for train station security,2.0,2.0,3.0,5.0,5.0,7.0,READ,SPEAK,308.0,2.0,2.0,3.0,5.0,5.0,7.0,READ,TYPE,308.0,2.0,2.0,3.0,5.0,5.0,7.0,READ,TYPE
PA26,train station security measure,711,2,"The query ""train station security measure"" is moderately specific as it indicates a particular context (train stations) and a focus (security measures). However",,,,,,,,,309.0,2.0,4.0,3.0,5.0,1.0,7.0,READ,TYPE,309.0,2.0,4.0,3.0,5.0,1.0,7.0,READ,TYPE
PA27,Is travelling by train safe?,711,"1: Not specific (vague or general). 

Reasoning: The query asks about the safety of traveling by train in a general sense without any context regarding location",type of train,3.0,2.0,2.0,4.0,1.0,6.0,LISTEN,SPEAK,310.0,3.0,2.0,2.0,4.0,1.0,6.0,LISTEN,TYPE,310.0,3.0,2.0,2.0,4.0,1.0,6.0,LISTEN,TYPE
PA28,security measures taken in train stations?,711,1,"The query ""security measures taken in train stations?"" is quite general and vague as it does not specify a particular location",1.0,3.0,3.0,5.0,1.0,10.0,LISTEN,SPEAK,311.0,1.0,3.0,3.0,5.0,1.0,10.0,LISTEN,TYPE,311.0,1.0,3.0,3.0,5.0,1.0,10.0,LISTEN,TYPE
PA29,What are the methods use to safe train station?,711,1,The query is vague and general as it does not specify which aspects of safety or methods are being referred to,4.0,5.0,1.0,5.0,1.0,7.0,READ,SPEAK,312.0,4.0,5.0,1.0,5.0,1.0,7.0,READ,TYPE,312.0,4.0,5.0,1.0,5.0,1.0,7.0,READ,TYPE
PA30,what happens if i forgot my myki card,711,2,The query is moderately specific as it seeks information about the consequences of forgetting a Myki card,4.0,4.0,1.0,4.0,1.0,1.0,READ,SPEAK,313.0,4.0,4.0,1.0,4.0,1.0,1.0,READ,TYPE,313.0,4.0,4.0,1.0,4.0,1.0,1.0,READ,TYPE
PA32,train station security,711,1,"The query ""train station security"" is quite general as it does not specify any particular aspect of security",2.0,3.0,3.0,5.0,3.0,4.0,LISTEN,SPEAK,315.0,2.0,3.0,3.0,5.0,3.0,4.0,LISTEN,TYPE,315.0,2.0,3.0,3.0,5.0,3.0,4.0,LISTEN,TYPE
PA4,Low white blood cell count causes,725,2,"The query ""low white blood cell count causes"" is moderately specific because it identifies a particular medical condition (low white blood cell count) and seeks to understand its causes. However",,,,,,,,,319.0,5.0,4.0,2.0,5.0,1.0,3.0,READ,TYPE,319.0,5.0,4.0,2.0,5.0,1.0,3.0,READ,TYPE
PA5,What causes low white blood cell count,725,2,The query is moderately specific as it asks for the causes of low white blood cell count,1.0,4.0,5.0,5.0,1.0,11.0,READ,SPEAK,325.0,1.0,4.0,5.0,5.0,1.0,11.0,READ,TYPE,325.0,1.0,4.0,5.0,5.0,1.0,11.0,READ,TYPE
PA11,What can cause low white blood cell count?,725,2,The query asks about the causes of low white blood cell count,2.0,3.0,4.0,5.0,2.0,2.0,READ,SPEAK,326.0,2.0,3.0,4.0,5.0,2.0,2.0,READ,TYPE,326.0,2.0,3.0,4.0,5.0,2.0,2.0,READ,TYPE
PA15,what are the reasons for low white blood cell count,725,2,"The query ""what are the reasons for low white blood cell count"" is moderately specific as it seeks information about specific medical information related to a low white blood cell count. However",4.0,4.0,3.0,5.0,2.0,8.0,LISTEN,SPEAK,330.0,4.0,4.0,3.0,5.0,2.0,8.0,LISTEN,TYPE,330.0,4.0,4.0,3.0,5.0,2.0,8.0,LISTEN,TYPE
PA16,Diseases that cause low white blood cell count,725,2,The query is moderately specific as it inquires about a particular medical topic,2.0,4.0,3.0,4.0,4.0,1.0,LISTEN,SPEAK,331.0,2.0,4.0,3.0,4.0,4.0,1.0,LISTEN,TYPE,331.0,2.0,4.0,3.0,4.0,4.0,1.0,LISTEN,TYPE
PA17,What are some of the causes for low white blood cells count?,725,2,The query is moderately specific as it asks about the causes of low white blood cell count,2.0,3.0,3.0,4.0,4.0,1.0,READ,SPEAK,332.0,2.0,3.0,3.0,4.0,4.0,1.0,READ,TYPE,332.0,2.0,3.0,3.0,4.0,4.0,1.0,READ,TYPE
PA20,what disease or condition may cause low white blood cell count?,725,2,The query seeks information about diseases or conditions related to a specific medical symptom (low white blood cell count),4.0,4.0,3.0,4.0,2.0,11.0,READ,SPEAK,335.0,4.0,4.0,3.0,4.0,2.0,11.0,READ,TYPE,335.0,4.0,4.0,3.0,4.0,2.0,11.0,READ,TYPE
PA21,Why the white blood cell level is low? Will it cause any detriments to my body and daily life?,725,2,The query is moderately specific as it asks about low white blood cell levels and their potential effects on health and daily life. However,1.0,4.0,2.0,4.0,2.0,3.0,LISTEN,SPEAK,336.0,1.0,4.0,2.0,4.0,2.0,3.0,LISTEN,TYPE,336.0,1.0,4.0,2.0,4.0,2.0,3.0,LISTEN,TYPE
PA26,symptoms with low white blood cell count,725,2,The query is moderately specific as it identifies a particular health condition (low white blood cell count) and seeks information about its symptoms. However,,,,,,,,,341.0,1.0,2.0,5.0,4.0,2.0,4.0,READ,TYPE,341.0,1.0,2.0,5.0,4.0,2.0,4.0,READ,TYPE
PA28,what are the symptoms for low white blood cell count?,725,2,The query is moderately specific as it asks for symptoms related to a low white blood cell count,5.0,4.0,2.0,5.0,1.0,2.0,READ,SPEAK,343.0,5.0,4.0,2.0,5.0,1.0,2.0,READ,TYPE,343.0,5.0,4.0,2.0,5.0,1.0,2.0,READ,TYPE
PA30,what are the common diseases that reduces white blood cell count,725,2,"The query is moderately specific as it refers to ""common diseases"" and specifies the effect on ""white blood cell count."" While it indicates an area of interest in medicine",4.0,4.0,1.0,4.0,1.0,6.0,READ,SPEAK,345.0,4.0,4.0,1.0,4.0,1.0,6.0,READ,TYPE,345.0,4.0,4.0,1.0,4.0,1.0,6.0,READ,TYPE
PA31,low white blood cell count medical condition,725,2,"The query ""low white blood cell count medical condition"" is moderately specific as it indicates a particular health concern related to white blood cells. However",1.0,4.0,4.0,5.0,5.0,2.0,READ,SPEAK,346.0,1.0,4.0,4.0,5.0,5.0,2.0,READ,TYPE,346.0,1.0,4.0,4.0,5.0,5.0,2.0,READ,TYPE
PA32,low white blood cell count,725,2,"The query ""low white blood cell count"" is moderately specific as it refers to a particular medical condition related to a specific aspect of blood health. However",4.0,4.0,3.0,5.0,3.0,2.0,READ,SPEAK,347.0,4.0,4.0,3.0,5.0,3.0,2.0,READ,TYPE,347.0,4.0,4.0,3.0,5.0,3.0,2.0,READ,TYPE
PA33,Why do I have a low white blood cell count?,725,2,The query asks about a specific medical condition (low white blood cell count) but does not provide any context or details (such as symptoms,3.0,4.0,2.0,5.0,2.0,6.0,READ,SPEAK,348.0,3.0,4.0,2.0,5.0,2.0,6.0,READ,TYPE,348.0,3.0,4.0,2.0,5.0,2.0,6.0,READ,TYPE
PA1,freight ship ferry permission,743,2,The query is moderately specific as it references a specific context (freight ship ferry) and a particular requirement (permission),,,,,,,,,,,,,,,,,,,,,,,,,,
PA8,What is the most recent policy for shipping industry?,743,2,The query is moderately specific as it asks for information about recent policy specifically related to the shipping industry. However,2.0,4.0,4.0,5.0,2.0,12.0,READ,SPEAK,354.0,2.0,4.0,4.0,5.0,2.0,12.0,READ,TYPE,354.0,2.0,4.0,4.0,5.0,2.0,12.0,READ,TYPE
PA5,Countries freight ship registration regulation,743,2,"The query mentions ""countries"" and ""freight ship registration regulation",1.0,2.0,4.0,2.0,1.0,7.0,LISTEN,SPEAK,357.0,1.0,2.0,4.0,2.0,1.0,7.0,LISTEN,TYPE,357.0,1.0,2.0,4.0,2.0,1.0,7.0,LISTEN,TYPE
PA12,Tell me more about this,743,1,"The query ""Tell me more about this"" is not specific because it lacks context or detail regarding what ""this"" refers to. It could pertain to any topic",2.0,2.0,1.0,3.0,3.0,12.0,READ,SPEAK,359.0,2.0,2.0,1.0,3.0,3.0,12.0,READ,TYPE,359.0,2.0,2.0,1.0,3.0,3.0,12.0,READ,TYPE
PA13,What documents do I need to apply for a registration?,743,2,The query is moderately specific because it requests information about the documents required for a registration application. However,1.0,4.0,4.0,4.0,4.0,1.0,LISTEN,SPEAK,360.0,1.0,4.0,4.0,4.0,4.0,1.0,LISTEN,TYPE,360.0,1.0,4.0,4.0,4.0,4.0,1.0,LISTEN,TYPE
PA14,what is freighter ship registration?,743,1,"The query ""what is freighter ship registration?"" is not specific because it is a general question that seeks basic information about a broad topic without any particular focus. It does not specify any details related to the context or aspects of freighter ship registration",1.0,2.0,2.0,2.0,2.0,12.0,LISTEN,SPEAK,361.0,1.0,2.0,2.0,2.0,2.0,12.0,LISTEN,TYPE,361.0,1.0,2.0,2.0,2.0,2.0,12.0,LISTEN,TYPE
PA15,what are the rules and consideration related to freight ship,743,2,The query asks about the rules and considerations related to freight ships,1.0,4.0,3.0,1.0,4.0,10.0,LISTEN,SPEAK,362.0,1.0,4.0,3.0,1.0,4.0,10.0,LISTEN,TYPE,362.0,1.0,4.0,3.0,1.0,4.0,10.0,LISTEN,TYPE
PA16,What are the rules and regulations for a freight ship registration,743,2,The query is moderately specific as it asks about rules and regulations related to freight ship registration,2.0,2.0,3.0,2.0,4.0,9.0,READ,SPEAK,363.0,2.0,2.0,3.0,2.0,4.0,9.0,READ,TYPE,363.0,2.0,2.0,3.0,2.0,4.0,9.0,READ,TYPE
PA20,what is the registration process of freight ship in Australia?,743,3,The query is very specific as it explicitly asks about the registration process of freight ships in Australia,4.0,3.0,2.0,3.0,2.0,4.0,LISTEN,SPEAK,367.0,4.0,3.0,2.0,3.0,2.0,4.0,LISTEN,TYPE,367.0,4.0,3.0,2.0,3.0,2.0,4.0,LISTEN,TYPE
PA22,How long does it take to obtain registration for a freight ship?,743,2,The query is moderately specific because it specifically asks about the time frame for obtaining registration for a freight ship,2.0,2.0,2.0,3.0,3.0,9.0,LISTEN,SPEAK,369.0,2.0,2.0,2.0,3.0,3.0,9.0,LISTEN,TYPE,369.0,2.0,2.0,2.0,3.0,3.0,9.0,LISTEN,TYPE
PA23,How to register a ship in the country?,743,1,The query is not specific because it is general and lacks details such as which country is being referred to. It does not provide information about the type of ship or any particular registration requirements,,,,,,,,,370.0,2.0,2.0,3.0,5.0,3.0,1.0,LISTEN,TYPE,370.0,2.0,2.0,3.0,5.0,3.0,1.0,LISTEN,TYPE
PA25,what are the rules and regulations that i should be concerned about when registering a freight ship in my country,743,2,The query is moderately specific because it asks about rules and regulations related to registering a freight ship,1.0,1.0,5.0,2.0,5.0,12.0,LISTEN,SPEAK,372.0,1.0,1.0,5.0,2.0,5.0,12.0,LISTEN,TYPE,372.0,1.0,1.0,5.0,2.0,5.0,12.0,LISTEN,TYPE
PA28,rules and conditions related to registration of freight ship?,743,2,"The query is moderately specific as it targets ""rules and conditions"" specifically pertaining to ""registration of freight ship."" However",1.0,2.0,3.0,5.0,4.0,8.0,READ,SPEAK,375.0,1.0,2.0,3.0,5.0,4.0,8.0,READ,TYPE,375.0,1.0,2.0,3.0,5.0,4.0,8.0,READ,TYPE
PA29,How long it take to frieter ship registration,743,1,The query is vague and general,2.0,4.0,3.0,2.0,2.0,3.0,LISTEN,SPEAK,376.0,2.0,4.0,3.0,2.0,2.0,3.0,LISTEN,TYPE,376.0,2.0,4.0,3.0,2.0,2.0,3.0,LISTEN,TYPE
PA31,registering freight ship rules regulations,743,2,"The query ""registering freight ship rules regulations"" is moderately specific as it suggests an interest in the somewhat detailed area of rules and regulations specific to the registration of freight ships. However",1.0,2.0,4.0,2.0,1.0,4.0,READ,SPEAK,378.0,1.0,2.0,4.0,2.0,1.0,4.0,READ,TYPE,378.0,1.0,2.0,4.0,2.0,1.0,4.0,READ,TYPE
PA33,How do you register a freight ship?,743,2,The query asks about the process of registering a freight ship,2.0,2.0,3.0,3.0,3.0,11.0,READ,SPEAK,380.0,2.0,2.0,3.0,3.0,3.0,11.0,READ,TYPE,380.0,2.0,2.0,3.0,3.0,3.0,11.0,READ,TYPE
PA1,san xia project + china,416,2,"The query ""san xia project + china"" is moderately specific as it refers to a specific project (the Sanxia",,,,,,,,,,,,,,,,,,,,,,,,,,
PA2,the current status of Three Gorge project,416,2,The query asks for the current status of the Three Gorge project,,,,,,,,,125.0,1.0,4.0,3.0,4.0,2.0,11.0,LISTEN,SPEAK,125.0,1.0,4.0,3.0,4.0,2.0,11.0,LISTEN,SPEAK
PA3,What are the current status of three gorge dam project?,416,2,"The query is moderately specific as it asks about the ""current status"" of a specific project",,,,,,,,,126.0,3.0,4.0,1.0,4.0,1.0,12.0,READ,SPEAK,126.0,3.0,4.0,1.0,4.0,1.0,12.0,READ,SPEAK
PA4,update on the three gorges dam project,416,2,The query asks for an update on the Three Gorges Dam project,,,,,,,,,127.0,1.0,3.0,3.0,5.0,2.0,10.0,READ,TYPE,127.0,1.0,3.0,3.0,5.0,2.0,10.0,READ,TYPE
PA6,Three Gorges Dam Yangze River cruise,416,2,"The query ""Three Gorges Dam Yangze River cruise"" is moderately specific. It mentions the Three Gorges Dam",3.0,4.0,1.0,4.0,1.0,3.0,LISTEN,SPEAK,128.0,3.0,4.0,1.0,4.0,1.0,3.0,LISTEN,TYPE,128.0,3.0,4.0,1.0,4.0,1.0,3.0,LISTEN,TYPE
PA7,What is the current status of three gorges dam project especially near yantzee river?,416,2,"The query asks about the ""current status"" of the Three Gorges Dam project and specifies a geographical focus on the Yangtze River",1.0,1.0,4.0,5.0,1.0,7.0,READ,SPEAK,129.0,1.0,1.0,4.0,5.0,1.0,7.0,READ,TYPE,129.0,1.0,1.0,4.0,5.0,1.0,7.0,READ,TYPE
PA8,At what stage do we expect the Three Georges Dam project to be in? ,416,2,The query is moderately specific as it refers to a specific project (Three Georges Dam) and is inquiring about its current status or stage. However,2.0,3.0,2.0,5.0,1.0,8.0,LISTEN,SPEAK,130.0,2.0,3.0,2.0,5.0,1.0,8.0,LISTEN,TYPE,130.0,2.0,3.0,2.0,5.0,1.0,8.0,LISTEN,TYPE
PA9,What is the current status of the Three Gorges Dam project?,416,2,The query asks about the current status of a specific project (Three Gorges Dam),1.0,1.0,2.0,4.0,1.0,1.0,READ,SPEAK,131.0,1.0,1.0,2.0,4.0,1.0,1.0,READ,TYPE,131.0,1.0,1.0,2.0,4.0,1.0,1.0,READ,TYPE
PA17,What is the current statuse of the three Gorges Dam project?,416,2,The query asks about the status of a specific project,2.0,3.0,3.0,4.0,2.0,12.0,READ,SPEAK,140.0,2.0,3.0,3.0,4.0,2.0,12.0,READ,TYPE,140.0,2.0,3.0,3.0,4.0,2.0,12.0,READ,TYPE
PA18,why it is needed to explore The Three Gorges Dam Project?,416,2,The query asks about the need to explore a specific project,3.0,3.0,2.0,4.0,2.0,9.0,READ,SPEAK,141.0,3.0,3.0,2.0,4.0,2.0,9.0,READ,TYPE,141.0,3.0,3.0,2.0,4.0,2.0,9.0,READ,TYPE
PA22,How long did it take to build the Three Gorges Dam?,416,2,The query asks about the construction time for a specific infrastructure project,4.0,5.0,2.0,2.0,1.0,2.0,READ,SPEAK,145.0,4.0,5.0,2.0,2.0,1.0,2.0,READ,TYPE,145.0,4.0,5.0,2.0,2.0,1.0,2.0,READ,TYPE
PA23,Is three gorges dam project finished?,416,2,The query is moderately specific as it refers to a particular project (the Three Gorges Dam) and asks a direct question about its completion status. However,,,,,,,,,146.0,1.0,3.0,4.0,5.0,1.0,9.0,LISTEN,TYPE,146.0,1.0,3.0,4.0,5.0,1.0,9.0,LISTEN,TYPE
PA25,what is the current state of the george damme project,416,2,The query is moderately specific as it asks for information about a particular project (the George Damme project) but does not clarify what aspects of the project's state the user is interested in,1.0,1.0,1.0,4.0,2.0,5.0,LISTEN,SPEAK,148.0,1.0,1.0,1.0,4.0,2.0,5.0,LISTEN,TYPE,148.0,1.0,1.0,1.0,4.0,2.0,5.0,LISTEN,TYPE
PA27,Current status of The Three Gorges Dam,416,2,The query is moderately specific because it refers to a particular structure (The Three Gorges Dam) and implies a request for its present condition or updates. However,1.0,3.0,4.0,5.0,1.0,8.0,READ,SPEAK,150.0,1.0,3.0,4.0,5.0,1.0,8.0,READ,TYPE,150.0,1.0,3.0,4.0,5.0,1.0,8.0,READ,TYPE
PA28,what is the current status of three gorges dam project?,416,2,"The query asks about the ""current status"" of a specific project",1.0,3.0,2.0,5.0,1.0,6.0,READ,SPEAK,151.0,1.0,3.0,2.0,5.0,1.0,6.0,READ,TYPE,151.0,1.0,3.0,2.0,5.0,1.0,6.0,READ,TYPE
PA30,what is three gorges dam project,416,1,"The query ""what is three gorges dam project"" is not specific because it is asking for a general overview or definition of the project without delving into particular aspects such as its purpose",2.0,4.0,1.0,4.0,1.0,11.0,LISTEN,SPEAK,153.0,2.0,4.0,1.0,4.0,1.0,11.0,LISTEN,TYPE,153.0,2.0,4.0,1.0,4.0,1.0,11.0,LISTEN,TYPE
PA32,three gorges dam project,416,2,"The query ""three gorges dam project"" is moderately specific as it refers to a particular large infrastructure project",3.0,4.0,3.0,2.0,2.0,5.0,LISTEN,SPEAK,155.0,3.0,4.0,3.0,2.0,2.0,5.0,LISTEN,TYPE,155.0,3.0,4.0,3.0,2.0,2.0,5.0,LISTEN,TYPE
PA1,what can tires be recycled for ?,419,2,The query is moderately specific as it asks a clear question about the potential uses of recycled tires. However,,,,,,,,,,,,,,,,,,,,,,,,,,
PA3,Are recycled tyres good in performance?,419,2,The query asks about the performance of recycled tyres,,,,,,,,,158.0,4.0,4.0,1.0,1.0,1.0,11.0,READ,SPEAK,158.0,4.0,4.0,1.0,1.0,1.0,11.0,READ,SPEAK
PA6,Car tyre recycling uses,419,2,"The query ""Car tyre recycling uses"" is moderately specific as it refers to a particular subject (car tyre recycling) and implies a focus on the applications or purposes of the recycled materials. However",2.0,4.0,1.0,5.0,1.0,7.0,LISTEN,SPEAK,160.0,2.0,4.0,1.0,5.0,1.0,7.0,LISTEN,TYPE,160.0,2.0,4.0,1.0,5.0,1.0,7.0,LISTEN,TYPE
PA10,Ways to recycle car tiers,419,2,The query is moderately specific as it focuses on a particular topic—recycling car tires—but does not provide detailed criteria or particular aspects of recycling (e.g.,4.0,5.0,2.0,4.0,4.0,2.0,LISTEN,SPEAK,164.0,4.0,5.0,2.0,4.0,4.0,2.0,LISTEN,TYPE,164.0,4.0,5.0,2.0,4.0,4.0,2.0,LISTEN,TYPE
PA5,How can tires be recycled,419,1,"The query ""How can tires be recycled"" is quite vague and general",1.0,2.0,4.0,5.0,1.0,6.0,LISTEN,SPEAK,165.0,1.0,2.0,4.0,5.0,1.0,6.0,LISTEN,TYPE,165.0,1.0,2.0,4.0,5.0,1.0,6.0,LISTEN,TYPE
PA14,what happens when the tires are recyclyed?,419,2,"The query ""what happens when the tires are recycled?"" is moderately specific as it identifies a specific process (tire recycling) and asks about its outcomes. However",3.0,4.0,2.0,4.0,2.0,5.0,LISTEN,SPEAK,169.0,3.0,4.0,2.0,4.0,2.0,5.0,LISTEN,TYPE,169.0,3.0,4.0,2.0,4.0,2.0,5.0,LISTEN,TYPE
PA17,What are some of the uses for old tyres?,419,1,"The query is not specific because it is very general and open-ended. It asks for ""some of the uses"" without narrowing down the context",3.0,4.0,3.0,4.0,4.0,3.0,LISTEN,SPEAK,172.0,3.0,4.0,3.0,4.0,4.0,3.0,LISTEN,TYPE,172.0,3.0,4.0,3.0,4.0,4.0,3.0,LISTEN,TYPE
PA20,what are the new uses of these old tires,419,2,The query is moderately specific as it asks about innovative applications for old tires,3.0,4.0,3.0,4.0,2.0,5.0,LISTEN,SPEAK,175.0,3.0,4.0,3.0,4.0,2.0,5.0,LISTEN,TYPE,175.0,3.0,4.0,3.0,4.0,2.0,5.0,LISTEN,TYPE
PA21,What can the old tires be used to after being recycled?,419,2,The query is moderately specific as it asks about the potential uses of recycled old tires. While it doesn't specify certain types of recycling or particular applications,2.0,2.0,2.0,4.0,4.0,6.0,LISTEN,SPEAK,176.0,2.0,2.0,2.0,4.0,4.0,6.0,LISTEN,TYPE,176.0,2.0,2.0,2.0,4.0,4.0,6.0,LISTEN,TYPE
PA23,How tyres can be recycled and what are the uses of them?,419,2,The query is moderately specific as it asks about the recycling process of tyres and their uses. However,,,,,,,,,178.0,4.0,3.0,2.0,5.0,1.0,3.0,READ,TYPE,178.0,4.0,3.0,2.0,5.0,1.0,3.0,READ,TYPE
